cast,certificate,genre,grosscollection,imdbrating,imglinks,metascore,movie,noofvotes,plot,production_year,release_date,runtime,tconst,gtrendssearch,date
"     Director: Anurag Kashyap |      Stars: Manoj Bajpayee,  Richa Chadha,  Nawazuddin Siddiqui,  Tigmanshu Dhulia ",A,"Action, Crime, Drama            ",NA,8.2,"https://ia.media-imdb.com/images/M/MV5BMTc5NjY4MjUwNF5BMl5BanBnXkFtZTgwODM3NzM5MzE@._V1_UX67_CR0,0,67,98_AL_.jpg",89,Gangs of Wasseypur,61549,"    A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",2012,02-Aug-12,321 min,tt1954470,Gangs of Wasseypur,2012-08-02
"     Director: Hansal Mehta |      Stars: Rajkummar Rao,  Mohammed Zeeshan Ayyub,  Baljinder Kaur,  Tigmanshu Dhulia ",A,"Biography, Crime, Drama            ",NA,8.3,"https://ia.media-imdb.com/images/M/MV5BMTYyMDE1NjQ1Nl5BMl5BanBnXkFtZTgwMDAyMTUzMDE@._V1_UY98_CR3,0,67,98_AL_.jpg",-1,Shahid,10635,"    The account of Human Rights lawyer Shahid Azmi, an ordinary citizen with an extraordinary commitment to justice.",2012,18-Oct-13,129 min,tt2181831,Shahid ,2013-10-18
"     Director: Sujoy Ghosh |      Stars: Vidya Balan,  Parambrata Chatterjee,  Dhritiman Chatterjee,  Saswata Chatterjee ",UA,"Mystery, Thriller            ","1,035,953",8.2,"https://ia.media-imdb.com/images/M/MV5BMTQ1NDI0NzkyOF5BMl5BanBnXkFtZTcwNzAyNzE2Nw@@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,Kahaani,47857,"    A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",2012,09-Mar-12,122 min,tt1821480,Kahaani,2012-03-09
"     Director: Vivek Agnihotri |      Stars: Nikhil Dwivedi,  Gulshan Devaiah,  Paoli Dam,  Mohan Kapoor ",A,"Drama, Thriller            ",NA,5.3,"https://ia.media-imdb.com/images/M/MV5BZTgzMDA5YWQtZTNhNy00MzZiLWE1OWMtMmFkNDU2YTJhMTA2XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,Hate Story,2919,"    After a powerful businessman has her baby forcefully aborted, Kaavya Krishna uses her body as a sexual weapon to destroy his empire, brick by brick.",2012,20-Apr-12,140 min,tt2309987,Hate Story,2012-04-20
"     Director: Anurag Basu |      Stars: Ranbir Kapoor,  Priyanka Chopra,  Ileana D'Cruz,  Saurabh Shukla ",U,"Adventure, Comedy, Drama            ","2,804,874",8.1,"https://ia.media-imdb.com/images/M/MV5BMTQzMTEyODY2Ml5BMl5BanBnXkFtZTgwMjA0MDUyMjE@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,Barfi!,64142,    Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,2012,14-Sep-12,151 min,tt2082197,Barfi!,2012-09-14
"     Director: Reema Kagti |      Stars: Aamir Khan,  Kareena Kapoor Khan,  Rani Mukerji,  Rajkummar Rao ",UA,"Crime, Drama, Fantasy            ","2,706,375",7.3,"https://ia.media-imdb.com/images/M/MV5BNTg5NzI3NzQzNl5BMl5BanBnXkFtZTcwMjM3MDU2OA@@._V1_UY98_CR0,0,67,98_AL_.jpg",65,Talaash,33774,"    Inspector Surjan Shekhawat, who is dealing with a depressing past, has to investigate a high profile murder case, deal with his crumbling marriage and use the help and solace of a prostitute by the name of Rosie.",2012,30-Nov-12,140 min,tt1787988,Talaash,2012-11-30
"     Director: Karan Malhotra |      Stars: Hrithik Roshan,  Priyanka Chopra,  Sanjay Dutt,  Rishi Kapoor ",NA,"Action, Crime, Drama            ","1,981,605",7,"https://ia.media-imdb.com/images/M/MV5BMzcxNTEzNzI4M15BMl5BanBnXkFtZTcwMTc3MDUzNw@@._V1_UX67_CR0,0,67,98_AL_.jpg",-1,Agneepath,19397,    A young boy's father is lynched before his eyes; fifteen years later he returns home for revenge.,2012,26-Jan-12,174 min,tt1849718,Agneepath,2012-01-26
"     Director: Ajay Bahl |      Stars: Shadab Kamal,  Shilpa Shukla,  Dibyendu Bhattacharya,  Shikha Joshi ",A,"Crime, Drama            ",NA,6.5,"https://ia.media-imdb.com/images/M/MV5BMjI0NDM4MTQ0M15BMl5BanBnXkFtZTgwNjA5NTM0NDE@._V1_UY98_CR3,0,67,98_AL_.jpg",-1,B.A. Pass,2758,    A young boy is seduced by a woman who later turns him into a gigolo (male prostitute).,2012,02-Aug-13,95 min,tt2408040,B.A. Pass,2013-08-02
"     Director: Yash Chopra |      Stars: Shah Rukh Khan,  Katrina Kaif,  Anushka Sharma,  Anupam Kher ",NA,"Drama, Family, Romance            ","3,047,539",6.8,"https://ia.media-imdb.com/images/M/MV5BMTUyMzM5OTM5NF5BMl5BanBnXkFtZTcwNTIwMjA3OA@@._V1_UX67_CR0,0,67,98_AL_.jpg",-1,Jab Tak Hai Jaan,46521,    A woman is made to realize that her prayers and sacrifice to save her boyfriend's life may have led him to a fate worse than death.,2012,13-Nov-12,176 min,tt2176013,Jab Tak Hai Jaan,2012-11-13
"     Director: Tigmanshu Dhulia |      Stars: Irrfan Khan,  Ravi Bhushan Bhartiya,  Hemendra Dandotiya,  Mahie Gill ",NA,"Action, Biography, Crime            ","39,567",8.2,"https://ia.media-imdb.com/images/M/MV5BNTgwODM5OTMzN15BMl5BanBnXkFtZTcwMTA3NzI1Nw@@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,Paan Singh Tomar,27265,"    The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",2012,02-Mar-12,135 min,tt1620933,Paan Singh Tomar,2012-03-02
"     Director: Umesh Shukla |      Stars: Paresh Rawal,  Mithun Chakraborty,  Akshay Kumar,  Om Puri ",U,"Comedy, Drama, Fantasy            ","923,221",8.2,"https://ia.media-imdb.com/images/M/MV5BMGNhYjUwNmYtNDQxNi00NDdmLTljMDAtZWM1NDQyZTk3ZDYwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,OMG: Oh My God!,38806,    A shopkeeper takes God to court when his shop is destroyed by an earthquake.,2012,28-Sep-12,125 min,tt2283748,OMG Oh My God,2012-09-28
"     Director: Pooja Bhatt |      Stars: Randeep Hooda,  Arunoday Singh,  Arif Zakaria,  Sunny Leone ",A,"Drama, Thriller            ",NA,3,"https://ia.media-imdb.com/images/M/MV5BMDUyOGM5MDMtODllZS00NWY4LThlNGMtY2FjZDczZjU1YjQ5XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,Jism 2,2926,"    Izna, a porn star, is tasked by an Indian Intelligence Agency to seduce her ex-boyfriend Kabir, a dreaded assassin, in order to steal vital information relating to his sleeper cell contacts.",2012,03-Aug-12,130 min,tt2226666,Jism 2,2012-08-03
"     Director: Kabir Khan |      Stars: Salman Khan,  Katrina Kaif,  Girish Karnad,  Roshan Seth ",NA,"Action, Romance            ","2,347,774",5.5,"https://ia.media-imdb.com/images/M/MV5BZTEyMTlmYTUtMDE0My00NWJmLWJlZmEtNzhjNGI0Mzk0NTA4XkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_UY98_CR3,0,67,98_AL_.jpg",-1,Ek Tha Tiger,24566,    India's top spy Tiger and his love Zoya battle the dark world of intelligence and espionage that forbids its soldiers from loving the enemy.,2012,15-Aug-12,132 min,tt2016894,Ek Tha Tiger,2012-08-15
"     Director: Gauri Shinde |      Stars: Sridevi,  Adil Hussain,  Mehdi Nebbou,  Priya Anand ",NA,"Comedy, Drama, Family            ","1,670,773",7.9,"https://ia.media-imdb.com/images/M/MV5BMjQ5YWVmYmYtOWFiZC00NGMxLWEwODctZDM2MWI4YWViN2E5XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,English Vinglish,27789,"    A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",2012,05-Oct-12,134 min,tt2181931,English Vinglish,2012-10-05
"     Director: Karan Johar |      Stars: Sidharth Malhotra,  Alia Bhatt,  Varun Dhawan,  Rishi Kapoor ",NA,"Comedy, Drama, Romance            ","326,508",5.5,"https://ia.media-imdb.com/images/M/MV5BZWY2Y2I2YTUtYWE1Yi00OGE5LTgyOTEtNDIyYzUyZjM5Yzk0XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,Student of the Year,11401,    Several alumni reminisce about their final year at St. Theresa's College and the events that shaped their lives.,2012,19-Oct-12,146 min,tt2172071,Student of the Year,2012-10-19
"     Director: Dibakar Banerjee |      Stars: Emraan Hashmi,  Abhay Deol,  Prasenjit Chatterjee,  Kalki Koechlin ",UA,"Crime, Mystery, Thriller            ",NA,7.3,"https://ia.media-imdb.com/images/M/MV5BMTU4MTAwODQ2N15BMl5BanBnXkFtZTcwNDY3MzM3Nw@@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,Shanghai,8475,    Prime leader of a campaign against a big government project is killed in what appears to be a road accident. An IAS officer is ordered to probe the incident and the veils of falsehood begin to drop.,2012,08-Jun-12,120 min,tt2072227,Shanghai ,2012-06-08
"     Director: Homi Adajania |      Stars: Saif Ali Khan,  Mia Uyeda,  Boman Irani,  Louise Bangay ",UA,"Comedy, Drama, Romance            ","1,027,121",6.2,"https://ia.media-imdb.com/images/M/MV5BMjYyY2U2MjUtNTdkYS00ZjM5LTllNTUtYWFkZGVhYWU1YjEzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,Cocktail,11358,"    A love triangle between a guy and two girls, who are best friends but the complete opposite of one another.",2012,13-Jul-12,146 min,tt2168910,Cocktail ,2012-07-13
"     Director: Shoojit Sircar |      Stars: Ayushmann Khurrana,  Yami Gautam,  Annu Kapoor,  Dolly Ahluwalia ",UA,"Comedy, Romance            ","169,209",7.8,"https://ia.media-imdb.com/images/M/MV5BYWNlODE1ZTEtOTQ5MS00N2QwLTllNjItZDQ2Y2UzMmU5YmI2XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY98_CR3,0,67,98_AL_.jpg",-1,Vicky Donor,32336,"    A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",2012,20-Apr-12,126 min,tt2317337,Vicky Donor,2012-04-20
"     Director: Anand Gandhi |      Stars: Aida Elkashef,  Yogesh Shah,  Faraz Khan,  Hannan Youssef ",UA,Drama            ,NA,8.1,"https://ia.media-imdb.com/images/M/MV5BMTU5Njc1NjkxMl5BMl5BanBnXkFtZTgwNTkzNTQwMDE@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,Ship of Theseus,5050,"    The film explores questions of identity, justice, beauty, meaning and death through an experimental photographer, an ailing monk and a young stockbroker.",2012,19-Jul-13,139 min,tt1773764,Ship of Theseus,2013-07-19
"     Directors: Abbas Alibhai Burmawalla,  Mastan Alibhai Burmawalla |      Stars: Vinod Khanna,  Abhishek Bachchan,  Bobby Deol,  Sonam Kapoor ",UA,"Action, Crime, Thriller            ",NA,4.1,"https://ia.media-imdb.com/images/M/MV5BOTQyNmQyYmYtMTU0NS00MGRiLTlhYTEtYmZiZDNkYTY4ZDQ4XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,Players,3212,"    Two thieves, a magician, a computer hacker, a wannabe actor and a explosives expert plan a robbery to fulfill the dream of Victor Braganza. Will they be successful or will destiny have something different for them?",2012,06-Jan-12,163 min,tt1784589,Players ,2012-01-06
"     Director: Rohit Shetty |      Stars: Amitabh Bachchan,  Ajay Devgn,  Abhishek Bachchan,  Asin ",PG,"Action, Comedy, Drama            ","1,216,258",5.5,"https://ia.media-imdb.com/images/M/MV5BNTUzMzQzNzY0NV5BMl5BanBnXkFtZTcwOTIwMjc4Nw@@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,Bol Bachchan,6802,"    All hell breaks loose when a Muslim man breaks a temple lock to save a little child, thus for his safety keeps a Hindu name, where he starts making web of lies.",2012,06-Jul-12,155 min,tt1728986,Bol Bachchan,2012-07-06
"     Director: Bedabrata Pain |      Stars: Manoj Bajpayee,  Barry John,  Delzad Hiwale,  Vega Tamotia ",A,"Action, Drama, War            ",NA,7.3,"https://ia.media-imdb.com/images/M/MV5BYTFlYzExMzItMDA3YS00YTY3LTlkN2MtNTIxNzBmMjYyODlkXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX67_CR0,0,67,98_AL_.jpg",-1,Chittagong,1113,"    Set in the turbulence of the 1930s British India, a 14 year old boy, Jhunku, and his journey to find where he belongs. For the first time in Indian history, the British army is defeated by ...                See full summary »",2012,12-Oct-12,105 min,tt1785333,Chittagong ,2012-10-12
"     Director: Madhur Bhandarkar |      Stars: Kareena Kapoor Khan,  Arjun Rampal,  Randeep Hooda,  Shahana Goswami ",A,Drama            ,"593,344",5.1,"https://ia.media-imdb.com/images/M/MV5BNjM1ODI0YTctNDc2Ni00MmEzLWE4MGUtNzBmNWI5ZWNhZmYwXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,Heroine,3469,    A female superstar struggles through the trials and tribulations of being a Bollywood actress.,2012,21-Sep-12,149 min,tt1949548,Heroine ,2012-09-21
"     Director: Rafeeq Ellias |      Stars: Sohrab Ardeshir,  Abhro Banerjee,  Kallol Banerjee,  Nicholas Brown ",NA,Comedy            ,NA,6,"https://ia.media-imdb.com/images/M/MV5BMWM4MGRiZGItYjEyMy00NDMyLTk3ODUtMzI2YjA0ZjA4MTdlXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY98_CR3,0,67,98_AL_.jpg",-1,Love You to Death,5,"    An outrageous comedy about love that doesn't exist, about therapy that doesn't work and murder that just might happen.",2012,03-Feb-12,102 min,tt1774473,Love You to Death,2012-02-03
"     Director: Ram Gopal Varma |      Stars: J.D. Chakravarthi,  Madhu Shalini,  Alayana Sharma,  Nitin Jadhav ",NA,"Horror, Mystery, Thriller            ",NA,2.5,"https://ia.media-imdb.com/images/M/MV5BNmNjOGMzMjEtMTgyOC00MWUzLTkzYmEtOWZiYjI4ZjQ2Yzg2XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,Bhoot Returns,449,"    A family moves into a possessed bungalow. A sudden turn of events in the house leaves them astonished. When things worsen, escape seems to be their last resort.",2012,12-Oct-12,85 min,tt2406636,Bhoot Returns,2012-10-12
"     Director: Gautham Menon |      Stars: Prateik,  Amy Jackson,  Sachin Khedekar,  Manu Rishi Chadha ",PG,"Drama, Romance            ",NA,5.9,"https://ia.media-imdb.com/images/M/MV5BZDBjOWY1NTQtMmU0MS00NGQ3LTk0YWEtNmI0YTJiZjg0Y2Y5XkEyXkFqcGdeQXVyMjY1MjkzMjE@._V1_UY98_CR1,0,67,98_AL_.jpg",-1,Ekk Deewana Tha,2537,    An aspiring filmmaker from Mumbai falls in love with a woman from a strict orthodox Christian family.,2012,17-Feb-12,136 min,tt2126282,Ekk Deewana Tha,2012-02-17
"     Director: Nitin Kakkar |      Stars: Sharib Hashmi,  Inaamulhaq,  Kumud Mishra,  Gopal Dutt ",U,Comedy            ,NA,7.3,"https://ia.media-imdb.com/images/M/MV5BMTYzNjAwNzc4OF5BMl5BanBnXkFtZTgwODY1MTk3MTE@._V1_UY98_CR3,0,67,98_AL_.jpg",-1,Filmistaan,2964,"    In Mumbai, affable Bollywood buff and wanna-be-actor Sunny, who works as an assistant director, fantasizes on becoming a heart-throb star. However, at every audition he is summarily thrown ...                See full summary »",2012,06-Jun-14,117 min,tt2417560,Filmistaan,2014-06-06
"     Director: Sajid Khan |      Stars: Akshay Kumar,  Asin,  John Abraham,  Jacqueline Fernandez ",NA,"Action, Comedy, Musical            ","1,503,059",5.4,"https://ia.media-imdb.com/images/M/MV5BZWM3YWEwYjgtNjJkMy00MGM1LWE5ZTUtOGQ3NGM5MDI0YWQ3XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,Housefull 2,10981,    A comedy of errors wherein four men help each other to fool their prospective father-in-laws creating a cascade of confusion and mayhem.,2012,05-Apr-12,145 min,tt1980986,Housefull 2,2012-04-05
"     Director: Ram Gopal Varma |      Stars: Sanjay Dutt,  Rana Daggubati,  Lakshmi Manchu,  Vijay Raaz ",A,"Action, Crime, Thriller            ",NA,3.3,"https://ia.media-imdb.com/images/M/MV5BY2VjMzI0M2UtMTVjMC00MjY2LTljMzItMTRkNmM2NjJiMGYyXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,Department,841,    A suspended cop joins hands with inspector Mahadev Bhonsle to free the city from underworld.,2012,18-May-12,141 min,tt2186731,Department,2012-05-18
"     Directors: Ashwani Dhir,  Anil Devgan |      Stars: Ajay Devgn,  Sanjay Dutt,  Sonakshi Sinha,  Juhi Chawla ",NA,"Action, Comedy            ","713,754",3.9,"https://ia.media-imdb.com/images/M/MV5BMTkzMDA2MzQ0MV5BMl5BanBnXkFtZTcwMjEwOTM3OA@@._V1_UX67_CR0,0,67,98_AL_.jpg",-1,Son of Sardaar,7598,"    A guest tries to stay inside the house of a man who can't kill him unless he's outside, because of believing guest to be equal to God.",2012,13-Nov-12,141 min,tt2178508,Son of Sardaar,2012-11-13
"     Director: Habib Faisal |      Stars: Arjun Kapoor,  Parineeti Chopra,  Gauhar Khan,  Anil Rastogi ",UA,"Action, Drama, Romance            ",NA,6.6,"https://ia.media-imdb.com/images/M/MV5BYWI5OThjZmEtYzc5NS00ZTg2LThlZDgtMDU2YWFjOWEzOTc5XkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_UY98_CR3,0,67,98_AL_.jpg",-1,Ishaqzaade,5563,    A love story of a passion ignited by hatred. Of two people. Born to hate. Destined to love.,2012,11-May-12,120 min,tt2308773,Ishaqzaade,2012-05-11
"     Director: Nikkhil Advani |      Stars: Cary Elwes,  Tara Strong,  Christopher Lloyd,  Vanessa Williams ",PG,"Animation, Adventure, Drama            ",NA,5.7,"https://ia.media-imdb.com/images/M/MV5BMjIyOTg2NzAwM15BMl5BanBnXkFtZTcwMTUxNjU0OA@@._V1_UY98_CR3,0,67,98_AL_.jpg",37,Delhi Safari,1380,    A group of animals plan a trip to Delhi in order to ask the parliament why the forest they live in is on the verge of destruction.,2012,19-Oct-12,96 min,tt1172587,Delhi Safari ,2012-10-19
"     Director: Ashwini Chaudhary |      Stars: Bipasha Basu,  Helen,  Pradeep Kharab,  Madhavan ",NA,"Comedy, Musical, Romance            ",NA,3.5,"https://ia.media-imdb.com/images/M/MV5BMjIxMzc5MzE0OF5BMl5BanBnXkFtZTcwMTk1NDY0Nw@@._V1_UX67_CR0,0,67,98_AL_.jpg",-1,Jodi Breakers,996,    Sid and Sonali help people in getting divorce who are not happy in their married life while in the case of Mark and Maggie Pereira it is then Sonali will come to know about Sid's intentions...                See full summary »,2012,24-Feb-12,127 min,tt2191721,Jodi Breakers,2012-02-24
"     Director: Ashim Ahluwalia |      Stars: Nawazuddin Siddiqui,  Niharika Singh,  Anil George,  Zeena Bhatia ",A,"Crime, Drama, Romance            ",NA,6.6,"https://ia.media-imdb.com/images/M/MV5BMjE5MTE2MzI0OV5BMl5BanBnXkFtZTgwNzYzMzA5MTE@._V1._CR32.1875,30.622161865234375,1371.9090576171875,1987.8181457519531_UY98_CR0,0,67,98_AL_.jpg",52,Miss Lovely,2600,"    A Hindi feature film set in the lower depths of Bombay's ""C"" grade film industry. Miss Lovely follows the devastating story of two brothers who produce sleazy horror films in the mid-1980s.",2012,17-Jan-14,113 min,tt1629715,Miss Lovely,2014-01-17
"     Director: Shakun Batra |      Stars: Kareena Kapoor Khan,  Imran Khan,  Zenobia Shroff,  Boman Irani ",UA,"Comedy, Drama, Romance            ","1,153,360",5.8,"https://ia.media-imdb.com/images/M/MV5BNTc3Nzc4ODk4Nl5BMl5BanBnXkFtZTcwMTcxOTMxNw@@._V1_UX67_CR0,0,67,98_AL_.jpg",-1,Ek Main Aur Ekk Tu,5735,    A few drinks too many leads an uptight architect and quick-witted hairstylist to marry in Las Vegas. Can a mistake lead to friendship and love?,2012,10-Feb-12,110 min,tt1703958,Ek Main Aur Ekk Tu,2012-02-10
"     Director: Rabi Kinagi |      Stars: Jeet,  Koyel Mallick,  Sujoy Ghosh,  Biswanath Basu ",NA,"Comedy, Drama, Romance            ",NA,6.1,"https://ia.media-imdb.com/images/M/MV5BOTg3N2JlZDItYTE5Ny00ZDc0LWI0MzAtYmZiMmI3NWU4ODQ5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX67_CR0,0,67,98_AL_.jpg",-1,100% Love,217,"    When he finds her, her life changes. But she doesn't accept him. What will he do?",2012,20-Jan-12,166 min,tt2579680,100% Love,2012-01-20
"     Director: Prabhudheva |      Stars: Akshay Kumar,  Sonakshi Sinha,  Nassar,  Paresh Ganatra ",UA,"Action, Comedy            ","775,981",5.8,"https://ia.media-imdb.com/images/M/MV5BYTk3ZWY3N2QtYzljNy00OTJjLTg5ZmUtYjc3NDU3ZGU1OTg1XkEyXkFqcGdeQXVyNjc5Mjg4Nzc@._V1_UX67_CR0,0,67,98_AL_.jpg",-1,Rowdy Rathore,17869,"    A con man uncovers a deadly secret and must save his lady love, the small-town locals and the little girl who insists she's his daughter, from the mob.",2012,01-Jun-12,140 min,tt2077833,Rowdy Rathore,2012-06-01
"     Director: Priyadarshan |      Stars: Shreyas Talpade,  Madhurima Banerjee,  Nana Patekar,  Paresh Rawal ",NA,"Comedy, Drama            ",NA,4.2,"https://ia.media-imdb.com/images/M/MV5BMjIwNDY3NTE3OV5BMl5BanBnXkFtZTcwMDUxNjU0OA@@._V1_UY98_CR1,0,67,98_AL_.jpg",-1,Kamaal Dhamaal Malamaal,625,"    Jhonny is often fooled by villagers as he is fit for nothing. He is in love with Maria but is often targeted by her brothers. Then enters Sam, who will be like a Samaritain to Jhonny's family.",2012,28-Sep-12,148 min,tt2278422,Kamaal Dhamaal Malamaal,2012-09-28
"     Director: Arbaaz Khan |      Stars: Salman Khan,  Sonakshi Sinha,  Prakash Raj,  Vinod Khanna ",UA,Action            ,"2,519,190",4.9,"https://ia.media-imdb.com/images/M/MV5BNTVlZjIxMGItNzJjNS00YjMyLWE2OTMtYTJjNjQ1NzI2ZTAzXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,Dabangg 2,12250,    Chulbul Pandey invites a fresh trouble when he kills the brother of a notorious politician and the former swears to wreak havoc in his life.,2012,21-Dec-12,120 min,tt2112131,Dabangg 2,2012-12-21
"     Director: Sachin Kundalkar |      Stars: Rani Mukerji,  Prithviraj Sukumaran,  Nirmiti Sawant,  Subodh Bhave ",NA,"Comedy, Romance            ",NA,4.4,"https://ia.media-imdb.com/images/M/MV5BMjIyMjEyMjgyNV5BMl5BanBnXkFtZTgwMDU3MzQ5NjE@._V1_UX67_CR0,0,67,98_AL_.jpg",-1,Aiyyaa,1401,"    A woman goes on the hunt for her dream man, armed with her wild imagination, her passion for Masala-films, and her ultra-sensitive sense of smell.",2012,12-Oct-12,152 min,tt2255934,Aiyyaa,2012-10-12
"     Director: Nila Madhab Panda |      Stars: Harish Chabbra,  Tannishtha Chatterjee,  Parvin Dabas,  Rajendra Gupta ",NA,"Drama, Family, Mystery            ",NA,7.2,"https://ia.media-imdb.com/images/M/MV5BMTAwODQ1ODI1MzdeQTJeQWpwZ15BbWU4MDc4NDYwMjEx._V1_UY98_CR0,0,67,98_AL_.jpg",-1,Jalpari: The Desert Mermaid,304,    Where would you be if your mother was not allowed to be born?,2012,01-Oct-12,94 min,tt2387495,Jalpari,2012-10-01
"     Director: Rajnish Thakur |      Stars: Sunil Shetty,  Udita Goswami,  Rajpal Yadav,  Mukesh Ahuja ",NA,Comedy            ,NA,3.6,"https://ia.media-imdb.com/images/M/MV5BZjFiZmIwMDUtMDhjMC00ODgyLTlhNGQtY2RiZDc1ODM2YTczXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,Mere Dost Picture Abhi Baaki Hai,161,"    Amar Joshi (Sunil Shetty) sells his business in hope to become a film director. After meeting immoral producers and financers, he finds out that his journey won't be so easy.",2012,20-Jul-12,NA,tt2232524,Mere Dost Picture Abhi Baaki Hai,2012-07-20
"     Director: Rajesh Mapuskar |      Stars: Sharman Joshi,  Boman Irani,  Ritvik Sahore,  Paresh Rawal ",NA,"Comedy, Drama, Family            ","420,046",6.4,"https://ia.media-imdb.com/images/M/MV5BMTQ2NTAxNzMxMl5BMl5BanBnXkFtZTcwNjczNzc3Nw@@._V1_UX67_CR0,0,67,98_AL_.jpg",-1,Ferrari Ki Sawaari,4353,    How the pursuit of an Indian cricket legend's Ferrari makes a young boy's dreams of playing cricket at Lords a reality.,2012,15-Jun-12,140 min,tt2122340,Ferrari Ki Sawaari,2012-06-15
"     Director: Sriram Raghavan |      Stars: Kareena Kapoor Khan,  Saif Ali Khan,  Adil Hussain,  Gulshan Grover ",NA,"Action, Adventure            ","632,446",5.1,"https://ia.media-imdb.com/images/M/MV5BMjI4MjkwMTA0N15BMl5BanBnXkFtZTcwMjA0MTc0Nw@@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,Agent Vinod,6247,    A series of seemingly unconnected events across the world leads to Agent Vinod undertaking a globe-trotting mission to discover why his colleague was murdered.,2012,23-Mar-12,157 min,tt1395025,Agent Vinod,2012-03-23
"     Director: Kunal Kohli |      Stars: Shahid Kapoor,  Priyanka Chopra,  Prachi Desai,  Neha Sharma ",NA,"Comedy, Drama, Romance            ","671,442",4.7,"https://ia.media-imdb.com/images/M/MV5BMjAwNzY3NTc2NF5BMl5BanBnXkFtZTcwNTUwMTE3Nw@@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,Teri Meri Kahaani,3434,"    The true love between a couple in 1910, 1960 and 2012. Their love is so strong that even destiny wants to bring them together.",2012,22-Jun-12,117 min,tt2354407,Teri Meri Kahaani,2012-06-22
"     Director: Rumi Jaffery |      Stars: Akshaye Khanna,  Mugdha Godse,  Satish Kaushik,  Annu Kapoor ",NA,"Comedy, Drama, Family            ",NA,5.1,"https://ia.media-imdb.com/images/M/MV5BMjU2OTA3MzAzOV5BMl5BanBnXkFtZTgwNjg2NzExNzE@._V1_UY98_CR3,0,67,98_AL_.jpg",-1,Gali Gali Chor Hai,473,    A common man is financially taken advantage of by corrupt government officials in this political satire.,2012,03-Feb-12,109 min,tt2188749,Gali Gali Chor Hai,2012-02-03
"     Director: Priyadarshan |      Stars: Anil Kapoor,  Ajay Devgn,  Mohanlal,  Kangana Ranaut ",NA,"Action, Crime, Drama            ",NA,3.9,"https://ia.media-imdb.com/images/M/MV5BMTg0MWRiZGMtNjY3ZS00ZTk4LWFkNDEtMWFmOWRlZmMyMGY5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY98_CR0,0,67,98_AL_.jpg",-1,Tezz,1779,"    To revenge his past, Aakash Rana plants bomb in a train endangering lives of 500 passengers.",2012,26-Apr-12,121 min,tt1706317,Tezz,2012-04-26
