cast,certificate,genre,grosscollection,imdbrating,imglinks,metascore,movie,noofvotes,plot,production_year,release_date,runtime,tconst,gtrendssearch,date
"     Director: Kamal Sadanah |      Stars: Aadil Chahal,  Ahran Chaudhary,  Pranay Dixit,  Subrat Dutta ",UA,"Action, Adventure, Thriller            ","81,083",5.7,"https://ia.media-imdb.com/images/M/MV5BMTk5OTkzNDc1NV5BMl5BanBnXkFtZTgwODg4NDExMzE@._V1_UY209_CR2,0,140,209_AL_.jpg",-1,ROAR: Tigers of the Sundarbans,607,"    After his photojournalist brother gets killed by a white tigress in the jungles of the Sundarbans, Pandit and his team of commandos enter the prohibited core area of the forest to avenge his death.",2014,31-Oct-14,123 min,tt3796006,ROAR Tigers of the Sundarbans,2014-10-31
"     Director: Nagesh Kukunoor |      Stars: Monali Thakur,  Vibha Chhibber,  Ranjeet Jha,  Ram Kapoor ",A,Drama            ,NA,8.1,"https://ia.media-imdb.com/images/M/MV5BMGFlMmEzYTQtZTgzZS00OWI2LTkzZTctNTUwMDBhZjlhMjk5XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR34,0,140,209_AL_.jpg",-1,Lakshmi,1057,"    Based on true events, Lakshmi is a story of heroism and untold courage. Lakshmi, a 13 year old girl is kidnapped and sold into prostitution. Thrown into this horrific, inhuman world where ...                See full summary »",2014,21-Mar-14,115 min,tt2976176,Lakshmi,2014-03-21
"     Director: Shekhar Suman |      Stars: Adhyayan Suman,  Ariana Ayam,  Deepti Naval,  Om Puri ",UA,"Drama, Family, Romance            ",NA,5.3,"https://ia.media-imdb.com/images/M/MV5BNjA1YWVhNmMtOGRkNS00NGZlLTg0MTktODdjNTM5MzhmNTA3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR2,0,140,209_AL_.jpg",-1,Heartless,400,"    A young man, Aditya Singh (Adhyayan), who fell deeply in love with a beautiful girl (Ariana). Soon he had a severe heart-attack, and when consulted with his doctor-friend (Shekhar Suman), ...                See full summary »",2014,07-Feb-14,131 min,tt3334348,Heartless,2014-02-07
"     Director: Sanamjit Singh Talwar |      Stars: Harman Baweja,  Harsh Chhaya,  Sunny Deol,  Rajit Kapoor ",UA,"Action, Thriller            ",NA,5.3,"https://ia.media-imdb.com/images/M/MV5BNDkyYTg4YmEtYzQzMC00N2ZlLWJiZDAtMTZjNWJhNzUwNzQ0XkEyXkFqcGdeQXVyNTk2MDIzMTU@._V1_UY209_CR2,0,140,209_AL_.jpg",-1,Dishkiyaoon,848,"    Vicky wanted to be the godfather of Mumbai underworld. He gains everything and also looses everything. He gains respect, power and leadership but he loses love, friendship.",2014,28-Mar-14,119 min,tt3539966,Dishkiyaoon,2014-03-28
"     Director: Kaushik Ghatak |      Stars: Rajeev Khandelwal,  Madalsa Sharma,  Gopal Dutt,  Girish Karnad ",UA,Mystery            ,NA,6.4,"https://ia.media-imdb.com/images/M/MV5BNjY3OTkyMzQwNF5BMl5BanBnXkFtZTgwODc4Mjg1NzE@._V1_UY209_CR8,0,140,209_AL_.jpg",-1,Samrat & Co.,887,    A small town tycoon gets murdered. The daughter hires a private investigator to catch the real culprit.,2014,25-Apr-14,125 min,tt3636776,Samrat & Co,2014-04-25
"     Director: Samar Shaikh |      Stars: Vidya Balan,  Ali Fazal,  Mahima A,  Abhishek C ",U,"Comedy, Drama, Thriller            ",NA,5.5,"https://ia.media-imdb.com/images/M/MV5BMTA1MzUwNTczODReQTJeQWpwZ15BbWU4MDU5NzkwOTEx._V1_UY209_CR2,0,140,209_AL_.jpg",-1,Bobby Jasoos,1788,"    Bobby Jasoos starring Vidya Balan, is a film that celebrates the aspiration of Bobby, who wants to become the number one detective in the old city area of Hyderabad. The film is directed by...                See full summary »",2014,04-Jul-14,121 min,tt3359290,Bobby Jasoos,2014-07-04
"     Director: Pawan Kripalani |      Stars: Jimmy Sheirgill,  Nushrat Bharucha,  Arif Zakaria,  Vikram Raj Bhardwaj ",A,"Horror, Thriller            ",NA,5,"https://ia.media-imdb.com/images/M/MV5BMTExNTUwNDEwODleQTJeQWpwZ15BbWU4MDUwNDMyMDEx._V1_UY209_CR2,0,140,209_AL_.jpg",-1,Darr @ the Mall,817,"    During the inaugural party of one of the largest malls in Asia, a newly recruited security guard must work to stop a supernatural threat.",2014,21-Feb-14,124 min,tt3449320,Darr @ the Mall,2014-02-21
"     Director: Subhash Ghai |      Stars: Kartik Aaryan,  Mishti,  Rishi Kapoor,  Mithun Chakraborty ",UA,"Drama, Musical, Romance            ",NA,4.5,"https://ia.media-imdb.com/images/M/MV5BMjAzNjUzNTQ3NV5BMl5BanBnXkFtZTgwNzc5NDg2NjE@._V1_UY209_CR8,0,140,209_AL_.jpg",-1,Kaanchi,502,    The inner power of a woman who represents over one million suppressed youth against injustice in the country.,2014,25-Apr-14,151 min,tt3038772,Kaanchi,2014-04-25
"     Director: Kamal Swaroop |      Stars: Gopi Desai,  Manish Gupta,  Anita Kanwar,  Aditya Lakhia ",UA,Drama            ,NA,7.4,"https://ia.media-imdb.com/images/M/MV5BOWQ0ZjI5M2EtMzQ0OC00NzlmLTg5MWEtZTRlODdiOTdjZjk1XkEyXkFqcGdeQXVyODYzMzYzNzM@._V1_UY209_CR4,0,140,209_AL_.jpg",-1,Om Dar-B-Dar,240,    A carefully constructed nonsense about a teenage boy named Om in a small Indian village.,1988,17-Jan-14,101 min,tt0246825,Om Dar-B-Dar,2014-01-17
"     Director: Sandeep A. Varma |      Stars: Anjori Alagh,  Karan Ashar,  Aarun D. Baliean,  Asif Basra ",NA,"Biography, Drama            ",NA,7.2,"https://ia.media-imdb.com/images/M/MV5BMTQ0MjU4ODkwMF5BMl5BanBnXkFtZTgwNjMzMDU0NTE@._V1_UY209_CR4,0,140,209_AL_.jpg",-1,Manjunath,438,"    'Manjunath' is a warm inspirational film based on the true story of Manjunath Shanmugam, a sales officer from a petroleum company who was killed by the oil mafia in 2005 for his stand against fuel adulteration.",2014,09-May-14,130 min,tt3056632,Manjunath,2014-05-09
